year,nump,flr,story,ceil,wall,fuel,house_bill_exist,house_bill_upgrade,house_elec_exist,house_elec_upgrade,house_gas_exist,house_gas_upgrade,house_ems_exist,house_ems_upgrade,heat_bill_exist,heat_bill_upgrade,heat_elec_exist,heat_elec_exist,heat_gas_exist,heat_gas_upgrade,heat_ems_exist,heat_ems_upgrade,cool_bill_exist,cool_bill_upgrade,cool_elec_exist,cool_elec_exist,cool_ems_exist,cool_ems_upgrade,water_bill_exist,water_bill_upgrade,water_gas_exist,water_gas_upgrade,water_ems_exist,water_ems_upgrade,la_bill_exist,la_bill_upgrade,la_elec_exist,la_elec_exist,la_gas_exist,la_gas_upgrade,la_ems_exist,la_ems_upgrade,sa_bill_exist,sa_bill_upgrade,sa_elec_exist,sa_elec_exist,sa_ems_exist,sa_ems_upgrade,light_bill_exist,light_bill_upgrade,light_elec_exist,light_elec_exist,light_ems_exist,light_ems_upgrade,added_cost,estimated_roi,thermostat_sav,thermostat_ret,thermostat_ems,lighting_sav,lighting_ret,lighting_ems,clotheswasher_sav,clotheswasher_ret,clotheswasher_ems,ceiling_sav,ceiling_ret,ceiling_ems,heat_sav,heat_ret,heat_ems,waterheater_sav,waterheater_ret,waterheater_ems,clothesdryer_sav,clothesdryer_ret,clothesdryer_ems,wall_sav,wall_ret,wall_ems,ductseal_sav,ductseal_ret,ductseal_ems,infiltration_sav,infiltration_ret,infiltration_ems
1920,1,800,1,ecwf11,3,ele,"2,289","1,390","7,626","4,546",586,367,"10,643","26,553",885,460,395,229,542,279,"6,529","3,375",117,89,631,482,314,240,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"4,365",21%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
1920,1,800,2,ecwf11,3,ele,"2,250","1,314","7,714","4,693",549,298,"10,254","25,820",829,350,392,193,505,210,"6,095","2,552",134,123,722,665,359,331,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"4,810",20%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
1920,1,800,3,ecwf11,3,ele,"2,291","1,358","7,772","4,693",570,327,"10,529","26,157",860,400,391,223,526,239,"6,340","2,904",144,117,781,635,389,316,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"4,598",21%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
1920,1,1200,1,ecwf11,3,ele,"2,689","1,596","7,772","4,596",835,498,"13,625","28,111","1,285",672,542,310,791,410,"9,511","4,949",117,83,630,451,314,225,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"5,139",21%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
1920,1,1200,2,ecwf11,3,ele,"2,599","1,467","7,860","4,774",764,390,"12,839","26,937","1,173",503,510,275,720,302,"8,666","3,669",139,123,750,664,373,331,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"5,689",20%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
1920,1,1200,3,ecwf11,3,ele,"2,649","1,491","7,978","4,831",783,399,"13,120","27,070","1,206",516,537,272,739,311,"8,901","3,772",156,134,841,724,419,360,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"5,695",21%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
1920,1,1600,1,ecwf11,3,ele,"3,081","1,802","7,918","4,647","1,079",629,"16,548","29,662","1,678",883,689,392,"1,035",541,"12,435","6,515",116,78,629,420,313,209,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"5,874",22%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
1920,1,1600,2,ecwf11,3,ele,"2,940","1,621","8,007","4,855",974,483,"15,366","28,057","1,509",652,627,327,930,395,"11,177","4,775",144,128,780,693,388,345,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"6,516",20%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
1920,1,1600,3,ecwf11,3,ele,"2,985","1,640","8,124","4,883",989,492,"15,599","28,178","1,537",665,654,326,945,404,"11,366","4,881",161,134,870,722,433,359,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"6,453",21%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
1920,1,2000,1,ecwf11,3,ele,"3,470","2,000","8,066","4,670","1,320",759,"19,437","211,189","2,061","1,087",807,446,"1,276",671,"15,309","8,057",122,72,659,390,328,194,297,169,909,,798,453,484,340,"2,262","1,129",44,88,"1,640","1,590",239,239,"1,290","1,290",642,642,267,93,"1,445",507,719,252,"6,587",22%,166,196%,"1,265",94,103%,467,51,57%,97,382,37%,"2,620",159,30%,"1,173",95,105%,254,90,25%,-161,125,19%,864,149,15%,"1,065",100,11%,698
